T1,6,3,1,9,,,,
T2,13,17,10,2,16,4,,
T3,15,9,4,,,,,
T4,11,18,,,,,,
T5,16,7,11,14,10,9,12,4
T6,16,20,2,15,,,,
T7,7,20,17,2,10,16,,
T8,6,20,2,18,11,7,19,
T9,2,,,,,,,
T10,12,16,14,5,13,,,
T11,18,19,4,,,,,
T12,7,13,3,4,8,1,20,2
T13,20,15,17,4,,,,
T14,10,3,14,15,12,19,17,
T15,1,14,16,8,18,,,
T16,1,13,3,18,11,,,
T17,7,1,20,4,,,,
T18,11,1,7,20,,,,
T19,7,6,13,3,,,,
T20,4,1,8,20,1,,,
T21,5,7,17,20,11,12,,
T22,4,11,1,8,,,,
T23,5,2,6,20,14,1,15,
T24,13,18,6,,,,,
T25,10,5,16,4,13,,,
T26,2,11,13,19,2,,,
T27,11,8,9,12,1,13,20,
T28,13,0,16,3,15,,,
T29,10,2,9,5,11,,,
T30,2,6,16,12,8,11,3,
T31,16,14,10,9,3,15,,
T32,12,20,8,1,12,13,3,
T33,17,11,,,,,,
T34,6,13,5,2,20,8,19,
T35,7,18,2,20,13,6,,
T36,13,4,18,7,13,20,10,
T37,20,,,,,,,
T38,14,,,,,,,
T39,10,11,,,,,,
T40,4,8,12,1,19,,,
T41,3,5,10,4,11,14,12,20
T42,3,11,17,8,9,20,1,
T43,16,20,8,,,,,
T44,10,20,18,,,,,
T45,0,3,,,,,,
T46,2,4,,,,,,
T47,17,,,,,,,
T48,18,1,11,20,,,,
T49,1,7,6,17,11,9,19,20
T50,2,8,5,17,18,11,,
