sid,sequence
P1,"['E122','E129','N']"
P35,"['E18','C','N']"
P47,"['C','C','N']"
P54,"['C','S']"
P60,"['C','N']"
P71,"['E19','C','E136','S']"
P80,"['C','C','E113','C','C','C','S']"
P89,"['C','S']"
P92,"['E116','C','C','C','S']"
P94,"['E8','E6','S']"
P95,"['E196','S']"
P96,"['C','C','S']"
P98,"['E105','C','C','N']"
P110,"['E196','C','C','S']"
P115,"['C','S']"
P121,"['C','C','C','S']"
P123,"['E196','C','C','S']"
P140,"['C','S']"
P143,"['C','N']"
P152,"['C','S']"
P154,"['C','S']"
P159,"['M','S']"
P160,"['E122','E130','C','S']"
P168,"['C','N']"
P173,"['E5','S']"
P176,"['M','C','S']"
P177,"['C','S']"
P178,"['C','S']"
P180,"['C','C','S']"
P184,"['C','S']"
P190,"['C','C','N']"
P191,"['E18','E9','C','C','E6','S']"
P195,"['E110','S']"
P196,"['E107','E18','E105','C','S']"
P199,"['E5','S']"
P205,"['E113','C','C','S']"
P208,"['E17','E105','M','C','S']"
P210,"['C','E17','M','E105','S']"
P213,"['E204','C','C','C','S']"
P215,"['C','E153','S']"
P218,"['C','C','S']"
P222,"['E18','C','C','C','C','S']"
P223,"['E19','E119','E','C','S']"
P232,"['E204','E113''E120','C','C','S']"
P236,"['E184','S']"
P237,"['C','C','C','S']"
P239,"['E195','S']"
P240,"['E17','C','S']"
P243,"['M','C','E68','C','E6','N']"
P244,"['E178','E112','S']"
P245,"['C','C','S']"
P246,"['E66','C','N']"
P247,"['M','C','S']"
P251,"['C','N']"
P254,"['E195','S']"
P259,"['E18','C','C','C','S']"
P267,"['C','N']"
P268,"['C','S']"
P275,"['E107','E75','C','C','E130','E6','S']"
P279,"['C','C','S']"
P280,"['E18','M','M','C','C','E104','C','S']"
P281,"['E17','S']"
P286,"['E17','S']"
P294,"['C','S']"
P295,"['E17','C','C','C','C','C','S']"
P296,"['C','M','E174','S']"
P297,"['E17','M','C','E6','E5','S']"
P298,"['E19','C','C','E57','N']"
P299,"['C','C','S']"
P300,"['C','S']"
P303,"['E130','S']"
P306,"['E116','C','C','S']"
P307,"['E60','C','C','N']"
P308,"['C','C','C','S']"
P309,"['C','C','S']"
P310,"['C','C','S']"
P312,"['E107','E57','C','C','S']"
P316,"['E107','E17','C','C','C','E6','E5','S']"
P317,"['C','E17','E174','E192','E112','S']"
P318,"['E8','E110','E128','E6','S']"
P321,"['C','S']"
P325,"['C','S']"
P326,"['E109','E19','S']"
P332,"['E204','E113','C','S']"
P334,"['E107','E59','C','S']"
P335,"['E17','N']"
P340,"['E208','S']"
P343,"['M','E','C','N']"
P345,"['C','C','N']"
P348,"['E172','E125''E128','S']"
P349,"['C','C','C','C','C','C','C','C','N']"
P353,"['C','C','S']"
P354,"['E107','E105','S']"
P355,"['E19','M','M','C','C','S']"
P358,"['E116''E119','E5','E2','S']"
P360,"['C','C','C','S']"
P363,"['E80','M','C','S']"
P364,"['E113','E119','C','M','E5','S']"
P365,"['E174','C','C','S']"
P367,"['E18','E168','S']"
P372,"['C','C','C','C','N']"
P373,"['E131','S']"
P374,"['E169''E105','E112','E128','C','S']"
P375,"['E77','C','C','M','E5','S']"
P377,"['E171','E110','E128','S']"
P378,"['E169','C','E5','S']"
P382,"['E121','C','E128''E130','S']"
P384,"['E17','E112','E2','C','S']"
P385,"['E113','C','C','C','C','C','C','N']"
P386,"['E107','E175','E105','S']"
P388,"['E198','E108','C','S']"
P391,"['E59','E113','E121','C','C','C','S']"
